"Date","Price","Open","High","Low","Vol.","Change %"
"05/08/2022","1.0411","1.0550","1.0592","1.0348","","-1.33%"
"05/01/2022","1.0551","1.0548","1.0641","1.0481","","0.09%"
"04/24/2022","1.0541","1.0840","1.0841","1.0470","","-2.34%"
"04/17/2022","1.0794","1.0803","1.0936","1.0759","","-0.11%"
"04/10/2022","1.0806","1.0933","1.0950","1.0756","","-0.64%"
"04/03/2022","1.0876","1.1034","1.1054","1.0835","","-1.60%"
"03/27/2022","1.1053","1.0984","1.1184","1.0943","","0.66%"
"03/20/2022","1.0981","1.1057","1.1069","1.0959","","-0.67%"
"03/13/2022","1.1055","1.0941","1.1137","1.0899","","1.34%"
"03/06/2022","1.0909","1.0951","1.1120","1.0804","","-0.16%"
"02/27/2022","1.0926","1.1177","1.1246","1.0884","","-3.03%"
"02/20/2022","1.1267","1.1314","1.1390","1.1105","","-0.48%"
"02/13/2022","1.1321","1.1343","1.1395","1.1278","","-0.25%"
"02/06/2022","1.1349","1.1467","1.1495","1.1328","","-0.85%"
"01/30/2022","1.1446","1.1145","1.1483","1.1137","","2.72%"
"01/23/2022","1.1143","1.1341","1.1345","1.1119","","-1.74%"
"01/16/2022","1.1340","1.1412","1.1434","1.1299","","-0.65%"
"01/09/2022","1.1414","1.1351","1.1482","1.1283","","0.48%"
"01/02/2022","1.1359","1.1352","1.1379","1.1270","","-0.08%"
"12/26/2021","1.1368","1.1316","1.1386","1.1272","","0.45%"
"12/19/2021","1.1317","1.1240","1.1343","1.1233","","0.69%"
"12/12/2021","1.1239","1.1315","1.1360","1.1220","","-0.64%"
"12/05/2021","1.1311","1.1319","1.1354","1.1226","","-0.02%"
"11/28/2021","1.1313","1.1307","1.1382","1.1234","","-0.04%"
"11/21/2021","1.1317","1.1291","1.1330","1.1184","","0.26%"
"11/14/2021","1.1288","1.1450","1.1463","1.1248","","-1.41%"
"11/07/2021","1.1450","1.1554","1.1608","1.1431","","-1.00%"
"10/31/2021","1.1566","1.1557","1.1616","1.1511","","0.04%"
"10/24/2021","1.1561","1.1642","1.1692","1.1533","","-0.74%"
"10/17/2021","1.1647","1.1596","1.1669","1.1570","","0.41%"
"10/10/2021","1.1600","1.1569","1.1624","1.1523","","0.29%"
"10/03/2021","1.1567","1.1591","1.1640","1.1527","","-0.23%"
"09/26/2021","1.1594","1.1723","1.1726","1.1561","","-1.02%"
"09/19/2021","1.1714","1.1730","1.1755","1.1682","","-0.09%"
"09/12/2021","1.1725","1.1812","1.1845","1.1722","","-0.75%"
"09/05/2021","1.1814","1.1877","1.1886","1.1800","","-0.57%"
"08/29/2021","1.1882","1.1791","1.1908","1.1781","","0.75%"
"08/22/2021","1.1793","1.1692","1.1802","1.1690","","0.83%"
"08/15/2021","1.1696","1.1792","1.1800","1.1662","","-0.81%"
"08/08/2021","1.1791","1.1760","1.1804","1.1704","","0.26%"
"08/01/2021","1.1760","1.1862","1.1899","1.1752","","-0.93%"
"07/25/2021","1.1870","1.1776","1.1909","1.1762","","0.84%"
"07/18/2021","1.1771","1.1806","1.1830","1.1750","","-0.29%"
"07/11/2021","1.1805","1.1870","1.1879","1.1770","","-0.57%"
"07/04/2021","1.1873","1.1860","1.1894","1.1780","","0.08%"
"06/27/2021","1.1864","1.1933","1.1944","1.1805","","-0.58%"
"06/20/2021","1.1933","1.1866","1.1975","1.1846","","0.62%"
"06/13/2021","1.1860","1.2108","1.2148","1.1845","","-2.03%"
"06/06/2021","1.2106","1.2166","1.2218","1.2091","","-0.49%"
"05/30/2021","1.2165","1.2190","1.2254","1.2102","","-0.20%"
"05/23/2021","1.2189","1.2176","1.2266","1.2131","","0.08%"
"05/16/2021","1.2179","1.2138","1.2244","1.2124","","0.32%"
"05/09/2021","1.2140","1.2159","1.2180","1.2049","","-0.19%"
"05/02/2021","1.2163","1.2029","1.2171","1.1984","","1.21%"
"04/25/2021","1.2018","1.2092","1.2149","1.2015","","-0.67%"
"04/18/2021","1.2099","1.1982","1.2099","1.1941","","0.97%"
"04/11/2021","1.1983","1.1889","1.1994","1.1869","","0.73%"
"04/04/2021","1.1896","1.1759","1.1927","1.1736","","1.14%"
"03/28/2021","1.1762","1.1793","1.1795","1.1702","","-0.29%"
"03/21/2021","1.1796","1.1897","1.1946","1.1760","","-0.90%"
"03/14/2021","1.1903","1.1950","1.1988","1.1872","","-0.41%"
"03/07/2021","1.1952","1.1920","1.1989","1.1834","","0.29%"
"02/28/2021","1.1917","1.2077","1.2112","1.1892","","-1.30%"
"02/21/2021","1.2074","1.2115","1.2242","1.2060","","-0.35%"
"02/14/2021","1.2117","1.2121","1.2169","1.2021","","-0.01%"
"02/07/2021","1.2118","1.2040","1.2149","1.2018","","0.63%"
"01/31/2021","1.2042","1.2138","1.2144","1.1950","","-0.77%"
"01/24/2021","1.2136","1.2166","1.2183","1.2056","","-0.25%"
"01/17/2021","1.2167","1.2083","1.2189","1.2052","","0.74%"
"01/10/2021","1.2078","1.2215","1.2225","1.2072","","-1.15%"
"01/03/2021","1.2218","1.2229","1.2349","1.2190","","0.05%"
"12/27/2020","1.2212","1.2200","1.2309","1.2179","","0.07%"
"12/20/2020","1.2204","1.2240","1.2256","1.2128","","-0.42%"
"12/13/2020","1.2255","1.2129","1.2273","1.2114","","1.19%"
"12/06/2020","1.2111","1.2128","1.2166","1.2057","","-0.07%"
"11/29/2020","1.2120","1.1957","1.2177","1.1922","","1.32%"
"11/22/2020","1.1962","1.1851","1.1964","1.1799","","0.92%"
"11/15/2020","1.1853","1.1827","1.1893","1.1812","","0.18%"
"11/08/2020","1.1832","1.1881","1.1919","1.1744","","-0.34%"
"11/01/2020","1.1872","1.1656","1.1890","1.1602","","1.93%"
"10/25/2020","1.1647","1.1856","1.1859","1.1638","","-1.79%"
"10/18/2020","1.1859","1.1721","1.1880","1.1701","","1.20%"
"10/11/2020","1.1718","1.1818","1.1826","1.1686","","-0.90%"
"10/04/2020","1.1824","1.1714","1.1831","1.1705","","0.95%"
"09/27/2020","1.1713","1.1636","1.1769","1.1613","","0.71%"
"09/20/2020","1.1630","1.1846","1.1871","1.1611","","-1.75%"
"09/13/2020","1.1837","1.1838","1.1899","1.1735","","-0.07%"
"09/06/2020","1.1845","1.1831","1.1916","1.1751","","0.06%"
"08/30/2020","1.1838","1.1897","1.2011","1.1779","","-0.55%"
"08/23/2020","1.1903","1.1785","1.1919","1.1761","","0.92%"
"08/16/2020","1.1795","1.1838","1.1965","1.1753","","-0.39%"
"08/09/2020","1.1841","1.1786","1.1864","1.1709","","0.47%"
"08/02/2020","1.1786","1.1781","1.1915","1.1694","","0.10%"
"07/26/2020","1.1774","1.1646","1.1908","1.1635","","1.03%"
"07/19/2020","1.1654","1.1408","1.1658","1.1400","","2.00%"
"07/12/2020","1.1426","1.1299","1.1451","1.1295","","1.13%"
"07/05/2020","1.1298","1.1240","1.1370","1.1238","","0.44%"
"06/28/2020","1.1248","1.1225","1.1302","1.1183","","0.28%"
"06/21/2020","1.1217","1.1183","1.1348","1.1167","","0.38%"
"06/14/2020","1.1175","1.1245","1.1352","1.1167","","-0.70%"
"06/07/2020","1.1254","1.1287","1.1422","1.1211","","-0.27%"
"05/31/2020","1.1284","1.1096","1.1383","1.1094","","1.68%"
"05/24/2020","1.1098","1.0902","1.1144","1.0869","","1.82%"
"05/17/2020","1.0900","1.0815","1.1008","1.0798","","0.79%"
"05/10/2020","1.0815","1.0836","1.0895","1.0773","","-0.23%"
"05/03/2020","1.0840","1.0980","1.0980","1.0765","","-1.30%"
"04/26/2020","1.0983","1.0808","1.1017","1.0806","","1.51%"
"04/19/2020","1.0820","1.0873","1.0896","1.0725","","-0.51%"
"04/12/2020","1.0876","1.0941","1.0990","1.0810","","-0.54%"
